cmd,scene
Go to the bedroom room and pick up the teddy bear on the bed. Take it to the living room and place it in the middle of the sofa.,FloorPlan_Train5_1
Take the plate from the lounge table and put it next to the laptop.,FloorPlan_Train7_5
"Go toward the tan chair with the books, grab the top white book. Then go back into the living room and put it on top of the wooden dresser beside the glass vase.",FloorPlan_Train12_3
Go to the desk with the plant on top and pick up the tennis racquet on the ground and place it inside the red bin.,FloorPlan_Train1_3
Get the basketball from the floor by the bed and put it in the blue bin.,FloorPlan_Train7_5
Go pick up the apple next to my laptop and place it on the blue chair at the furthest end of the same room.,FloorPlan_Train7_5
Pick up the apple that is near the laptop. Place it on the round table near the lamp.,FloorPlan_Train1_3
Get the remote from the small brown table and put it on the chair by the television.,FloorPlan_Train8_1
Get the pot in front of the television and place it on the bed.,FloorPlan_Train5_1
"Pick up the book that is on the bed, then walk to the living room and place it on the table near the hand.",FloorPlan_Train5_1
"Walk to the living room and pick up the cell phone off the table, then place it on the bed.",FloorPlan_Train5_1
Take the spray from the floor by the bin to the table with the TV on it.,FloorPlan_Train7_5
Take the tennis racket next to the laptop and put it on the chair thatâ€™s next to the baseball bat in the TV room.,FloorPlan_Train8_1
"Pick up the spray off the square table, then bring it to me in the bedroom.",FloorPlan_Train5_1
Get the vase from the table and put it on the sofa.,FloorPlan_Train7_5
Go to the living room and pick up the box on the floor by the TV and place it on the white chair in the hallway.,FloorPlan_Train1_3
Pick up the tennis racket and place it on the black table next to the red bin.,FloorPlan_Train1_3
Go to the central drawer unit and move the apple into the bowl.,FloorPlan_Train8_1
"Grab the apple off the chair next to the couch, then drop it in the box near the TV.",FloorPlan_Train12_3
Get the basketball and place it on the table that is in front of the television.,FloorPlan_Train5_1
"Pick up the vase, head to the light blue chairs, and place the vase on right chair.",FloorPlan_Train7_5
Find the pot next to the TV and put it in the box in the corner of the room.,FloorPlan_Train12_3
Pick up the remote and take it to the chair facing the TV.,FloorPlan_Train8_1
"Pick up the basketball next to the baseball, then place it on the chair near the lamp.",FloorPlan_Train7_5
Find the pillow on the purple chair and place it on the sofa.,FloorPlan_Train12_3
Fetch the blue plate and put it on the shelf under the one with the pot.,FloorPlan_Train8_1
"Get the apple that is next to the laptop, then go to the living room and place it on the table near the cup.",FloorPlan_Train7_5
"Go to the living room and pick up the remote next to the television, then place it on top of the books on the chair.",FloorPlan_Train7_5
"Pick up the remote off the grey couch, then put it down next to the TV.",FloorPlan_Train12_3
Take the baseball bat from the TV room and place it on the purple chair.,FloorPlan_Train12_3
Get the apple from the white chair and put it next to the alarm.,FloorPlan_Train12_3
"Pick up the remote off the table, then bring it to me in the room with the television.",FloorPlan_Train8_1
Fetch the top book from the brown armchair and put it in the cardboard box in the corner of the room.,FloorPlan_Train12_3
"Pick up the blue plate that is on the table with the cup, then walk to the table with the plant and place it near the apple.",FloorPlan_Train8_1
Pick up the newspaper lying on the couch and place it on the adjacent coffee table.,FloorPlan_Train5_1
Find the basketball and put it on top of the books.,FloorPlan_Train12_3
Move to the bedroom. Take the teddy from the bed and place it on the yellow couch in the living room.,FloorPlan_Train5_1
"Go to the living room and pick up the blue pillow, then take it to table that has the salt and place it there.",FloorPlan_Train8_1
Move to the bedroom. Take the book from the bed and place it on the desk beside the bed.,FloorPlan_Train5_1
Go to the living room and pick up the dog and place it on the desk in the bedroom.,FloorPlan_Train5_1
Go to the end of the bedroom beside the cot. Pick up the basketball to the left of the baseball bat and place it by the TV.,FloorPlan_Train7_5
Pick up the apple in the office next to the laptop and then place the apple in the box in the living room next to the TV.,FloorPlan_Train1_3
"Pick up the basketball that's next to the alarm, then drop it in the can next to the white chair.",FloorPlan_Train12_3
"Get the apple from the chair in the living room, then bring it to me in the television room.",FloorPlan_Train12_3
Go get the vase from the brown table. Take it to the living room and place it next to the remote.,FloorPlan_Train7_5
"Pick up the candle next to the basketball, then place it on the sofa near the laptop.",FloorPlan_Train12_3
"Go to the grey couch and pick up the newspaper, take it to the bedroom and place it on the bed.",FloorPlan_Train5_1
Go to the living room. Pick up the cup and put it on the plate on the table.,FloorPlan_Train7_5
Move to the other office room by exiting the room you are in and then turning right. Pick up the tennis racket on the floor by the desk. Take the tennis racket into the living room and place it on the sofa.,FloorPlan_Train1_3
Grab the glass cup from the table in front of the TV and place it next to the alarm clock on the dresser next to the bed.,FloorPlan_Train7_5
"Grab the pillow off the chair, then go to the brown chair and place it on top off the books.",FloorPlan_Train12_3
Go to the bedroom which is at the far end of the lounge and pick up the pillow which is on the bed. Take the pillow back to the study where you started and place it on the red bin.,FloorPlan_Train1_3
Put my basketball on the chair beneath the framed desert canyon photo.,FloorPlan_Train1_3
Please pick up the cup by the laptop and take it to the bedroom and place it on top of the bookshelf.,FloorPlan_Train1_3
"Go into the office, grab the spray beside the plant, and put it in the red trash can.",FloorPlan_Train1_3
Find my dresser alarm and place it in the box next to the TV.,FloorPlan_Train1_3
Go get the apple that is on top of the chest of drawers and place it on top of the shelf.,FloorPlan_Train8_1
"Take the fork, which is on top of the brown drawers opposite the yellow couch, and then walk towards the living room. Place the fork on the black table next to the television.",FloorPlan_Train5_1
Grab the vase that is on the brown table. Place it on the white desk next to the alarm.,FloorPlan_Train7_5
Pick up the tennis racket next to the brown desk and place it on the black shelf.,FloorPlan_Train1_3
Please pick up the basketball on the floor by the sofa and take it to the room with a desk and place it on the desk.,FloorPlan_Train1_3
Walk into the bedroom which is to your left and pick up the book on the bed. Walk back past the couch and to the living room and place the book on the black sofa opposite the television.,FloorPlan_Train5_1
Go get the spray off the black dresser in the next room and trash it in my bedroom.,FloorPlan_Train5_1
Get the basketball and place it in the can next to the laptop.,FloorPlan_Train7_5
Pick up the basketball next to the couch and place it on the brown shelf next to the bed.,FloorPlan_Train1_3
Take the remote from the table right in front of you and leave it on the table with the blue plate on it.,FloorPlan_Train8_1
Take the apple and place it in the brown box.,FloorPlan_Train1_3
"Walk to the lounge and pickup the cellphone on the table, turn around and walk back towards the couch, and place the phone on the couch.",FloorPlan_Train5_1
Take the book from the bed and put it on the coffee table in front of the couch.,FloorPlan_Train5_1
Go to the office area with the laptop. Grab the yellow vase and place it on the blue plate on the drawers.,FloorPlan_Train8_1
Grab the pepper grinder from the table close to the TV and put it on the light brown dresser in the middle of the room.,FloorPlan_Train8_1
Take the pen that is next to the basketball and put it on the couch with the newspaper.,FloorPlan_Train5_1
Please pick up the vase from the cabinet and put it on the bed.,FloorPlan_Train5_1
Pick up the spray and place it on the white stand with the plant on it.,FloorPlan_Train5_1
Place the newspaper on the couch on my bed.,FloorPlan_Train5_1
Pick up the basketball in the bedroom and then move to the waiting room and place the basketball on the light blue chair near the tall lamp.,FloorPlan_Train7_5
Go to the living room and grab the remote that is next to the TV. Place the remote next to the pillow on the couch in the same room.,FloorPlan_Train7_5
Go into the living room and grab the baskeball beside the couch. Then proceed to put it on the white chair.,FloorPlan_Train1_3
Please pick up the newspaper from the sofa and place it on the bed.,FloorPlan_Train5_1
Go to the lounge and pick up the pillow on the couch. Move it to the bedroom and place the pillow on the bed.,FloorPlan_Train7_5
Take the newspaper and put it on the yellow couch.,FloorPlan_Train5_1
Go to the bedroom and pick up the basketball and place it on the sofa in the living room.,FloorPlan_Train7_5
Pick up the remote lying on the couch and place it on the white desk with the plant sitting on it.,FloorPlan_Train5_1
Please pick up the alarm clock on the chest of drawers and take it and place it on the white sofa.,FloorPlan_Train7_5
Go to the seating area with the purple chair. Grab the alarm and put it on top of the cushion that is on the chair.,FloorPlan_Train12_3
Get the plate in front of the television and place it on the bed.,FloorPlan_Train7_5
Go to the hallway and pickup the apple on the brown chest of drawers next to the spray and then walk into the lounge and place the apple in the white basket next to the TV.,FloorPlan_Train8_1
Please pick up the vase from the table and place it on the bed.,FloorPlan_Train7_5
Pick up the yellow vase and put it on the coffee table.,FloorPlan_Train7_5
Run to the TV area and grab the orange cup to the right of the TV then bring it to me and put it on the gray sofa.,FloorPlan_Train12_3
Please pick up the remote by the TV and take it and place it on the chest of drawers near the bed.,FloorPlan_Train7_5
Go to the hallway and pick up the spray on the brown chest of drawers next to the apple and then walk to the office and place it on the table next to the laptop.,FloorPlan_Train8_1
Pick up the cup and put it in the recycling bin.,FloorPlan_Train7_5
Find the basketball and then go into the room with the bat and place the basketball next to the bat.,FloorPlan_Train12_3
Pick up the vase that is on the table and put it over on the dresser.,FloorPlan_Train7_5
Go to the living room and grab the cup that is on the table. Place it on the table next to the laptop.,FloorPlan_Train7_5
Please pick up the alarm clock from the small brown table and place it on the small black table next to the plate.,FloorPlan_Train8_1
Please pick up the blue plate from the small black table and place it on the green chair.,FloorPlan_Train8_1
Grab the apple from the chair and then go to the room with the purple armchair and put the apple on the side table.,FloorPlan_Train12_3
"Go to the lounge and pick up the basketball, then take it to the study and put it on the table by the laptop.",FloorPlan_Train1_3
Please pick up the bottle from the large brown table and place it on the small brown table.,FloorPlan_Train8_1
Grab the book from the orange couch and place it on the grey couch next to the laptop.,FloorPlan_Train12_3
Pick up the plate in the study and then take it to the lounge and put it down on the TV stand.,FloorPlan_Train1_3
"Go into the living room and grab the box beside the television, then put the box on the blue chair.",FloorPlan_Train1_3
Run down the hall and grab the orange cup next to the TV and put it down in front of the basketball on the white storage container.,FloorPlan_Train12_3
Please pick up the apple from the white chair and place it by the television.,FloorPlan_Train12_3
Pick up the spray from the floor and place it in the trash can.,FloorPlan_Train7_5
"Head over to the chair with the bowl on top of it, then grab the bowl and set it down on the dresser next to the purple chair.",FloorPlan_Train12_3
Please pick up the book from the wicker chair and place it on the chest of drawers.,FloorPlan_Train12_3
"Go to the bedroom, go and grab the blue book on the bed, then go into the living room and set the book on the coffee table in front of the television.",FloorPlan_Train5_1
Go to the white table and pick up the tennis racquet and place it on the shelf.,FloorPlan_Train8_1
Please pick up the box from the hallway and place it on the blue sofa.,FloorPlan_Train12_3
Go into the living room and pick up the newspaper on the couch. Then go into the bedroom and set it on top of the drawer beside the white vase.,FloorPlan_Train5_1
Go to the black table near the living room and grab the salt. Place it on the nearby table directly next to the apple.,FloorPlan_Train8_1
Go to the office and pick up the spray and place it on the sofa in the living room.,FloorPlan_Train1_3
Find the blue plate on the black table and pick it up. Place it on the white table by the laptop.,FloorPlan_Train8_1
"Pick up the book on the brown bamboo chair and put the book on the TV stand, next to the pot.",FloorPlan_Train12_3
Pick up the pepper and put it on the table next to the blue plate.,FloorPlan_Train8_1
"Go to the living room and grab the basketball next to the chair, then go to the office and place it in the box.",FloorPlan_Train1_3
Grab the apple next to the laptop and go to the living room and place it on the table.,FloorPlan_Train1_3
Find the pot that is near the television. Pick it up and place it next to the bowl that is located on the white chair in the hallway.,FloorPlan_Train12_3
Go into the bedroom and pick up the yellow vase. Then go into the living room and place the yellow vase on top of the white coffee table in front of the television.,FloorPlan_Train7_5
Grab the mug next to the laptop and go to the living room and place it next to the TV.,FloorPlan_Train1_3
Pick up the book that is on the white table and place it on the brown table next to the spray.,FloorPlan_Train1_3
Pick up the apple and place it in the pot.,FloorPlan_Train8_1
Grab the book and go to the living room and place it next to the TV.,FloorPlan_Train5_1
Pick up one of the books located on the chair in the hallway. Place it on the nearest table next to the mug.,FloorPlan_Train12_3
"Go to the living room and grab the cell phone on the table, then come back to the bedroom and place it on the bed.",FloorPlan_Train5_1
"Go into the bedroom and pick up the basketball beside the bed. Next, go into the living room and place the basketball on the white sofa.",FloorPlan_Train7_5
Grab the teddy bear on the bed and go to the living room and place it next to the TV.,FloorPlan_Train5_1
Put the panda bear in the bedroom on the yellow sofa.,FloorPlan_Train5_1
Pick up the apple beside the laptop and place it in the brown cardboard box beside the television.,FloorPlan_Train1_3
"Take the vase on the table and go to the living room, then put it on the couch.",FloorPlan_Train7_5
Place the vase on the bedside table in the bedroom.,FloorPlan_Train5_1
"Take the basketball next to the bed in the bedroom and go to the office, then put it next to the TV.",FloorPlan_Train7_5
Take the alarm from the shelves near the bed and place it on the blue chair.,FloorPlan_Train1_3
Pick up the bottle and put it on the round white table.,FloorPlan_Train8_1
"Go to the living room and grab the plate on the table, then come back to the bedroom and place it on the drawers.",FloorPlan_Train7_5
Go to the bedroom and pick up the teddy on the bed and place it on the sofa in the living room.,FloorPlan_Train5_1
"Go to the office and grab the mug behind the laptop, then come back and place it on the drawers.",FloorPlan_Train8_1
Take the brown ball between the sofa and the white chair and place it on the blue chair.,FloorPlan_Train1_3
Take the baseball bat and place it on the gray couch.,FloorPlan_Train5_1
Go to the white drawer and pick up the pen and place it on the drawer next to the vase.,FloorPlan_Train5_1
Grab the remote and take it to the chair sitting in front of the TV.,FloorPlan_Train8_1
Pick up the apple sitting on the desk with the laptop and place it on the plate sitting on the table in the room with the TV.,FloorPlan_Train7_5
Grab the gray bowl and go back into the starting room and place it on the table beside the alarm.,FloorPlan_Train8_1
Get the pillow from the bedroom and place it on the couch in front of the television.,FloorPlan_Train1_3
Go to the brown table and pick up the vase and place it in the blue bin.,FloorPlan_Train7_5
Pick up the salt that is sitting on the black table by the TV and take it to the white table.,FloorPlan_Train8_1
Go to the living room and pick up the pillow on the sofa and place it on the bed.,FloorPlan_Train7_5
"Go to the living room and grab the pillow on the couch, then come back and place it on the drawers.",FloorPlan_Train8_1
Get the basketball next to the couch and place it on the desk with the laptop.,FloorPlan_Train1_3
Take the basketball and put it inside the brown box.,FloorPlan_Train12_3
Pick up the apple and place it in the bowl sitting on the chair.,FloorPlan_Train12_3
Take the vase from the brown table and place it on the bed.,FloorPlan_Train7_5
"Go to the main area and grab the bottle on the drawer, then go to the office and place it on the drawers.",FloorPlan_Train8_1
Get the apple next to the laptop and place it next to the television.,FloorPlan_Train7_5
Pick up the orange cup that is sitting next to the TV and put it inside the trash can next to the white chair.,FloorPlan_Train12_3
Pick up the book on the round white table and put it on the grey lounge chair.,FloorPlan_Train1_3
Pick up the remote that is on the couch and put it next to the TV.,FloorPlan_Train12_3
Take the ball from beside the bed and place it on the couch.,FloorPlan_Train7_5
Take the basketball from beside the bed and place it beside the laptop on the table.,FloorPlan_Train7_5
"Go to the living room, pick up the basketball next to the couch, then place it on the bed.",FloorPlan_Train1_3
Take the remote from beside the alarm on the table and place it on the pillow on the yellow chair opposite the television.,FloorPlan_Train8_1
Pick up the candle and put it over on the adjacent dresser.,FloorPlan_Train12_3
Grab the glass cup on the end table and place it next to the mug and the bowl.,FloorPlan_Train5_1
Go pick up the vase in the bedroom and place it on the blue chair in front of the TV.,FloorPlan_Train1_3
Get the salt and place it next to the blue plate.,FloorPlan_Train8_1
Take the salt and place it between the cup and the plate.,FloorPlan_Train8_1
Take the Sherlock Holmes book from the room with the round white table and place it on the bed in the bedroom.,FloorPlan_Train1_3
Take the vase from the table and place it on the chair in the corner of the room.,FloorPlan_Train7_5
Get the tennis racket on the floor next to the brown table and put it in the box in the living room.,FloorPlan_Train1_3
Take the cardboard box in the living room and place it next to the red bin in the left office.,FloorPlan_Train1_3
Go pick up the apple next to my laptop and place it on the left side of the TV on the stand.,FloorPlan_Train1_3
Go pick up the cell phone from the coffee table and place it on the yellow couch.,FloorPlan_Train5_1
Take the basketball in the living room and place it on top of the yellow tennis racket in the second office.,FloorPlan_Train1_3
Get the cup and place it next to the alarm clock.,FloorPlan_Train8_1
Go pick up the dog figurine by the TV and place it on the grey couch next to the purple pillow.,FloorPlan_Train5_1
"Go to the bedroom, pick up the pillow on the bed, then place it on the couch.",FloorPlan_Train1_3
Grab the spray next on the table and put in next to the TV.,FloorPlan_Train1_3
Take the basketball in the room on the right hand side of the bed in the bedroom and place it in the bin that is on the left of the bed in the bedroom.,FloorPlan_Train5_1
Take the remote and place it in the black pot next to the television.,FloorPlan_Train12_3
Go pick up the remote by the TV and place it on my bed.,FloorPlan_Train7_5
Get the cup next to the television and place it next to the basketball.,FloorPlan_Train12_3
Go pick up my alarm clock and place it next to my laptop.,FloorPlan_Train7_5
Grab the book from the bed and put it on top of the drawer facing the yellow couch.,FloorPlan_Train5_1
Take the basketball from the top of the white drawers and put it next to the bear on the bed.,FloorPlan_Train5_1
Get the candle and place it on top of the books that rest in the chair.,FloorPlan_Train12_3
Pick up the alarm clock on the chest in the bedroom and place it on top of the books on the chair in the corridor.,FloorPlan_Train7_5
Go pick up the salt and place it on the yellow sofa in front of the TV.,FloorPlan_Train8_1
"Pick up the apple next to the laptop, then place it on the desk next to the lamp.",FloorPlan_Train1_3
Go to the bureau in the middle room and pick up the statue and then go to the couch and put the statue on the couch.,FloorPlan_Train5_1
"Go to the bed and pick up the bear, then go and sit it on the yellow couch.",FloorPlan_Train5_1
Pick up the alarm clock from the drawers and then run and place it on the white couch.,FloorPlan_Train7_5
Take the vase from the brown table and put it on top of the white coffee table.,FloorPlan_Train7_5
"Go to the living room, grab the newspaper off the grey couch, then place it on the yellow couch.",FloorPlan_Train5_1
Grab the cup on the coffee table and bring it to the laptop desk.,FloorPlan_Train7_5
Go to the coffee table and pick up the cup and then place it on the drawers beside the clock.,FloorPlan_Train7_5
Fetch the basketball by the bed and put it on the couch.,FloorPlan_Train7_5
Pick up the vase on the brown table and place it on the white coffee table.,FloorPlan_Train7_5
"Go to the bedroom, pick up the teddy, then place it on the grey couch next to the pillow.",FloorPlan_Train5_1
"Grab the cellphone from the living room, then put it on the bed, next to the laptop.",FloorPlan_Train5_1
Take the remote next to the alarm clock and place it between the spray bottle and the plant.,FloorPlan_Train8_1
"Go to the office and pick up the apple, then go to the living room and drop the apple in the box next to the TV.",FloorPlan_Train1_3
Grab the tennis racket on top of the white desk and put it by the salt and pepper.,FloorPlan_Train8_1
"Grab the vase off the brown table, then place it on the white table in the living room.",FloorPlan_Train7_5
"Go into the office and pick up the apple beside the laptop. Next, place the apple inside the blue recycling bin.",FloorPlan_Train7_5
"Go to the living room, grab the cup, then drop it in the recycling bin next to the laptop.",FloorPlan_Train7_5
Go to the corner and take the wine glass from the stand and then go to the drawers in the middle room and place the wine glass beside the plant.,FloorPlan_Train8_1
"Take the spray bottle next to the plant, and put it on the white circle desk.",FloorPlan_Train8_1
"Pick up the spray next to the recycling bin, then put it on the cabinet next to the bed.",FloorPlan_Train7_5
Put the dog figurine in the black pot.,FloorPlan_Train5_1
"Go to the bedroom and take the pillow, move to the living area and place it on the couch.",FloorPlan_Train1_3
Grab the round pillow on the chair and bring it to the grey couch.,FloorPlan_Train12_3
Take the remote next to the clock and put it on the chair in front of the TV.,FloorPlan_Train8_1
Take the remote control and place it on the bed.,FloorPlan_Train1_3
Run to the purple chair and pick up the cushion and turn round and go to the couch and place the cushion beside the laptop.,FloorPlan_Train12_3
Take the apple on the white chair next to grey couch and put it by the television.,FloorPlan_Train12_3
"Grab the apple next to the plant, then drop it in the bin in the living room.",FloorPlan_Train8_1
Go pick up the baseball bat and place it next to the alarm clock on the floor.,FloorPlan_Train8_1
"Grab the mug next to the laptop, then put it on the stand next to the plant.",FloorPlan_Train8_1
Go pick up the blue plate and place it next to the apple on the table.,FloorPlan_Train8_1
"Take the book on the bed, move to the living room and place the book on top of the book near the TV.",FloorPlan_Train5_1
Go pick up the pillow on the purple sofa and place it next to my laptop.,FloorPlan_Train12_3
"Go to the bed, take the teddy and drop it inside the bin next to the bed.",FloorPlan_Train5_1
Go pick up the remote near my laptop and place it to the left of the TV on the table.,FloorPlan_Train12_3
Go pick up the mug and place it on the arm of the purple sofa.,FloorPlan_Train12_3
"Run to the white drawer, grab the pen and bring it back to me in the bedroom.",FloorPlan_Train5_1
Pick up the apple from the table and place it on the couch in the living room.,FloorPlan_Train1_3
Pick up the book from the table and place it next to the spray bottle on the table.,FloorPlan_Train1_3
Grab the basketball next to the bed. Place it in the blue bin near the laptop.,FloorPlan_Train7_5
Move and pick up the pepper off the table and then move to the center area and place the pepper on the brown chest of drawers next to the apple.,FloorPlan_Train8_1
"Run to the living room, pick up the plate, then put it on the bed.",FloorPlan_Train7_5
Pick up the remote that is on the couch and then move to the lounge and place the remote next to the TV on the brown drawers.,FloorPlan_Train12_3
"Move to the living room and pick up the orange cup next to the TV on the brown drawers, then place the cup on the grey couch next to the laptop.",FloorPlan_Train12_3
Go into the room on the right and pick up the basketball on the white stand. Go to the dresser that has the white television on it and place the basketball on the dresser.,FloorPlan_Train12_3
"Pick up the blue bowl, which is on the white chair in the hallway, and place the bowl on the grey couch.",FloorPlan_Train12_3
"Go to the bedroom and grab the pillow, then bring it to the office and place it on the desk.",FloorPlan_Train1_3
"Grab the tennis racket next to the desk, then place it on the couch that is next to the basketball in the living room.",FloorPlan_Train1_3
"Take the apple near the painting, bring it to the living room and place it on the chair.",FloorPlan_Train8_1
Go to the drawer near the TV. Pick up the salt. Put the salt next to the laptop.,FloorPlan_Train8_1
Take the bat under the TV. Place it on the chair with the bowl.,FloorPlan_Train12_3
Pick up the pillow from the purple chair. Put it next to the laptop on the couch.,FloorPlan_Train12_3
Go into the bedroom. Grab the yellow pillow. Bring the pillow into the living room and put it on the couch.,FloorPlan_Train1_3
Find the spray near the chair. Drop it in the box near the TV.,FloorPlan_Train12_3
Run to the bamboo chair in the corner and pick up the spray bottle and go back to the couch room and put the spray bottle on the couch.,FloorPlan_Train12_3
Put the apple next to the laptop into the box in the living room next to the TV.,FloorPlan_Train1_3
"Grab the fertility idol from the brown drawer, then put it in the bin next to the bed.",FloorPlan_Train5_1
"Pick up the hand from the living room, then take it to the couch.",FloorPlan_Train5_1
Take the pillow from the couch and place it on the far side of the bed.,FloorPlan_Train7_5
Grab the remote next to the alarm clock and place it next to the TV.,FloorPlan_Train8_1
Pick up the yellow plate and place it on the white couch opposite the TV.,FloorPlan_Train1_3
Grab the yellow pilllow in the bedroom and place it on the desk that has the plant on it.,FloorPlan_Train1_3
Take the white book and drop it on the chair under the desert painting on the wall.,FloorPlan_Train1_3
Pick up the glass bottle and bring it to the room with a TV on the desk. Place it on the chair opposite it.,FloorPlan_Train5_1
Find the white vase and place it on the white desk in front of the basketball.,FloorPlan_Train5_1
Find the pot and go into the bedroom. Put it on the bedside table opposite the lamp.,FloorPlan_Train5_1
Take the alarm and bring it to the room with two chairs. Place it on the chair in the corner of the room.,FloorPlan_Train7_5
Take the plate on the white table and bring it to the bedroom. Place it on the bed thatâ€™s beside the basketball.,FloorPlan_Train7_5
Pick up the basketball next to the baseball bat and put it in the bin.,FloorPlan_Train7_5
Pick up the apple by the laptop and put it on the TV table.,FloorPlan_Train1_3
Pick up the basketball next to the bed and put it in the bin.,FloorPlan_Train7_5
